"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"1500000US530730105011","Block Group 1, Census Tract 105.01, Whatcom County, Washington","54367","17610"
"1500000US530730105013","Block Group 3, Census Tract 105.01, Whatcom County, Washington","89583","25659"
"1500000US530730105022","Block Group 2, Census Tract 105.02, Whatcom County, Washington","79957","9629"
"1500000US530730105021","Block Group 1, Census Tract 105.02, Whatcom County, Washington","49926","31714"
"1500000US530730105023","Block Group 3, Census Tract 105.02, Whatcom County, Washington","85140","34830"
"1500000US530730103031","Block Group 1, Census Tract 103.03, Whatcom County, Washington","69865","18353"
"1500000US530730103032","Block Group 2, Census Tract 103.03, Whatcom County, Washington","67394","6466"
"1500000US530730001002","Block Group 2, Census Tract 1, Whatcom County, Washington","78846","16560"
"1500000US530730001003","Block Group 3, Census Tract 1, Whatcom County, Washington","50551","6908"
"1500000US530730001001","Block Group 1, Census Tract 1, Whatcom County, Washington","57061","19818"
"1500000US530730002003","Block Group 3, Census Tract 2, Whatcom County, Washington","47641","26130"
"1500000US530730002004","Block Group 4, Census Tract 2, Whatcom County, Washington","46967","13587"
"1500000US530730005012","Block Group 2, Census Tract 5.01, Whatcom County, Washington","41875","26914"
"1500000US530730005013","Block Group 3, Census Tract 5.01, Whatcom County, Washington","38676","29956"
"1500000US530730005022","Block Group 2, Census Tract 5.02, Whatcom County, Washington","36711","11760"
"1500000US530730007003","Block Group 3, Census Tract 7, Whatcom County, Washington","60927","18234"
"1500000US530730008031","Block Group 1, Census Tract 8.03, Whatcom County, Washington","60769","13358"
"1500000US530730008032","Block Group 2, Census Tract 8.03, Whatcom County, Washington","64286","44926"
"1500000US530730008033","Block Group 3, Census Tract 8.03, Whatcom County, Washington","78419","20805"
"1500000US530730008034","Block Group 4, Census Tract 8.03, Whatcom County, Washington","32414","7694"
"1500000US530730008041","Block Group 1, Census Tract 8.04, Whatcom County, Washington","122073","21406"
"1500000US530730008042","Block Group 2, Census Tract 8.04, Whatcom County, Washington","92000","7579"
"1500000US530730008051","Block Group 1, Census Tract 8.05, Whatcom County, Washington","61193","15936"
"1500000US530730008052","Block Group 2, Census Tract 8.05, Whatcom County, Washington","54167","20169"
"1500000US530730008053","Block Group 3, Census Tract 8.05, Whatcom County, Washington","78028","9834"
"1500000US530730008061","Block Group 1, Census Tract 8.06, Whatcom County, Washington","81557","16634"
"1500000US530730008062","Block Group 2, Census Tract 8.06, Whatcom County, Washington","88203","6660"
"1500000US530730008063","Block Group 3, Census Tract 8.06, Whatcom County, Washington","73043","15529"
"1500000US530730009011","Block Group 1, Census Tract 9.01, Whatcom County, Washington","28972","15718"
"1500000US530730009013","Block Group 3, Census Tract 9.01, Whatcom County, Washington","94448","22058"
"1500000US530730009021","Block Group 1, Census Tract 9.02, Whatcom County, Washington","66885","23859"
"1500000US530730010003","Block Group 3, Census Tract 10, Whatcom County, Washington","31325","7362"
"1500000US530730012011","Block Group 1, Census Tract 12.01, Whatcom County, Washington","15911","12193"
"1500000US530730012013","Block Group 3, Census Tract 12.01, Whatcom County, Washington","22615","4309"
"1500000US530730012021","Block Group 1, Census Tract 12.02, Whatcom County, Washington","70375","14811"
"1500000US530730012023","Block Group 3, Census Tract 12.02, Whatcom County, Washington","42552","6312"
"1500000US530730012024","Block Group 4, Census Tract 12.02, Whatcom County, Washington","41893","12116"
"1500000US530730104032","Block Group 2, Census Tract 104.03, Whatcom County, Washington","46934","20033"
"1500000US530730104041","Block Group 1, Census Tract 104.04, Whatcom County, Washington","59412","19913"
"1500000US530730104043","Block Group 3, Census Tract 104.04, Whatcom County, Washington","55710","15597"
"1500000US530730107011","Block Group 1, Census Tract 107.01, Whatcom County, Washington","77357","48037"
"1500000US530730107013","Block Group 3, Census Tract 107.01, Whatcom County, Washington","68438","22334"
"1500000US530730107021","Block Group 1, Census Tract 107.02, Whatcom County, Washington","61223","1768"
"1500000US530739400001","Block Group 1, Census Tract 9400, Whatcom County, Washington","48125","10381"
"1500000US530739400002","Block Group 2, Census Tract 9400, Whatcom County, Washington","58534","7407"
"1500000US530730101005","Block Group 5, Census Tract 101, Whatcom County, Washington","52066","19126"
"1500000US530730101002","Block Group 2, Census Tract 101, Whatcom County, Washington","35328","14196"
"1500000US530730101001","Block Group 1, Census Tract 101, Whatcom County, Washington","-","**"
"1500000US530730103011","Block Group 1, Census Tract 103.01, Whatcom County, Washington","69265","21022"
"1500000US530730002001","Block Group 1, Census Tract 2, Whatcom County, Washington","63700","22810"
"1500000US530730002002","Block Group 2, Census Tract 2, Whatcom County, Washington","33827","8161"
"1500000US530730004001","Block Group 1, Census Tract 4, Whatcom County, Washington","57083","10215"
